#station,latitude,longitude,elevevation
B084,33.61157,-116.45637,1271
B086,33.5575,-116.531,1392
B087,33.4955,-116.6026667,1139
B088,33.37495,-116.62052,1403.87
B089,33.59989,-116.59612,1362
B093,33.5937,-116.7638,1244
B201,46.3033,-122.2648,990
B202,46.2447,-122.1367,1218.6
B203,46.169,-122.3337,814.4
B204,46.136,-122.169,784.2
B206,44.7177,-110.5117,2399.5
B207,44.619,-110.8485,2182
B208,44.5602,-110.4015,2405.8
B900,35.686,-120.003,219.5
B901,35.6897,-120.142,275.3
B916,36.1925,-117.6685,1859.9
B917,35.4053,-117.2588,1192
B918,35.9357,-117.6017,1042.6
B921,35.5865,-117.4622,694.5
B926,48.8202,-124.1312,191.6
B927,49.2188,-124.8113,39
B928,48.8337,-125.1345,9.5
B932,40.275,-124.2212,52
B933,40.06,-123.969,268.1
B934,39.8445,-123.6914,331
B935,40.4787,-123.5732,696.7
B941,46.9868,-122.219,151
B943,47.8132,-122.9113,84.2
B944,44.3897,-110.5438,2364.6
B945,44.894,-110.7441,2241.4
B946,33.5373,-116.5925,1429
B948,35.83372,-120.34324,428
B950,44.7128,-110.6785,2328.4
BACK,-74.430448,-102.478214,37.7
BAKU,40.3721,49.8144,94
BAMO,40.412749650643,-117.204568176868,1792.47811300005
BAR1,33.4804546464678,-119.029741250638,14.8121593335905
BARA,18.2086993753047,-71.0982270747199,6.76467833530552
BARO,71.325047,-156.667677,11.5
BATG,-79.01098,170.72451,31.087
BBDM,34.5822009491498,-119.98151853931,204.884673664103
BBID,44.1850438695139,-111.526128691325,1789.92351835745
BBRY,34.2642796571698,-116.884244633452,2051.08199483332
BCYI,44.3156153799175,-113.405849429437,2173.41237071274
BEAN,-75.9563,-69.30216,892.4
BEMT,34.0005338199234,-115.998192861059,1373.65222182644
BENN,-84.7864605277778,-116.459784611111,1417
BEPK,35.8783884939991,-118.074096310292,2471.1100108806
BERP,-74.54594,-111.8846,312
BGGY,17.0451201536047,-61.8611629991032,356.303748101425
BIJA,9.74997515333003,-84.5768679008111,555.674735984292
